transactionID,dateTime,customerID,productID,categoryID,storeID,salesPersonID,productValue
261767,1971-01-03 14:16:00,,4069.0,92.0,29,36.0,21.2
261767,1971-01-03 14:16:00,,2383.0,119.0,29,36.0,5.0
261767,1971-01-03 14:16:00,,2387.0,119.0,29,36.0,5.0
261767,1971-01-03 14:16:00,,5136.0,131.0,29,36.0,15.0
261767,1971-01-03 14:16:00,,5316.0,146.0,29,36.0,17.4
261767,1971-01-03 14:16:00,,6557.0,146.0,29,36.0,14.4
267049,1972-11-22 18:34:00,,6744.0,36.0,22,252.0,25.0
267386,1970-10-12 11:52:00,,5589.0,101.0,28,62.0,7.0
267386,1970-10-12 11:52:00,,5582.0,101.0,28,62.0,9.7
270004,1970-10-28 10:06:00,,4160.0,92.0,11,100.0,13.5
274529,1970-06-10 14:01:00,,1143.0,92.0,7,Unknown,16.5
275449,1970-10-13 13:29:00,124978.0,2971.0,140.0,28,141.0,10.17
275495,1970-03-01 14:07:00,,3765.0,146.0,13,Unknown,20.5
275495,1970-03-01 14:07:00,,5262.0,71.0,13,Unknown,7.0
276054,1970-04-13 16:36:00,,4198.0,30.0,14,Unknown,11.34
279785,1970-03-31 11:35:00,,1124.0,134.0,26,Unknown,7.65
279785,1970-03-31 11:35:00,,1000.0,92.0,26,Unknown,18.27
280568,1970-01-09 15:27:00,,5316.0,146.0,20,Unknown,17.0
282801,1970-08-18 11:13:00,,5317.0,71.0,9,Unknown,3.5
290173,1970-02-08 15:46:00,,320.0,170.0,33,132.0,20.0
292051,1970-12-29 17:57:00,,5507.0,75.0,9,Unknown,17.0
294077,1970-11-17 10:09:00,128589.0,4552.0,146.0,16,42.0,13.41
295175,1970-02-25 17:31:00,,2198.0,49.0,28,Unknown,18.0
295175,1970-02-25 17:31:00,,7028.0,109.0,28,Unknown,13.05
295175,1970-02-25 17:31:00,,2193.0,49.0,28,Unknown,12.15
299033,1970-11-09 17:44:00,,2733.0,71.0,9,Unknown,3.4
299033,1970-11-09 17:44:00,,3663.0,24.0,9,Unknown,3.0
302236,1970-09-03 17:16:00,,5552.0,140.0,1,Unknown,3.2
302236,1970-09-03 17:16:00,,2047.0,71.0,1,Unknown,2.72
302236,1970-09-03 17:16:00,,5538.0,140.0,1,Unknown,3.2
303721,1970-03-20 11:57:00,,1734.0,92.0,3,Unknown,17.3
303721,1970-03-20 11:57:00,,832.0,68.0,3,Unknown,16.5
307447,1970-10-30 13:02:00,,5395.0,131.0,5,116.0,16.9
308272,1970-12-20 17:24:00,25754.0,4552.0,146.0,5,116.0,7.45
308272,1970-12-20 17:24:00,25754.0,384.0,36.0,5,116.0,17.5
308272,1970-12-20 17:24:00,25754.0,5587.0,101.0,5,116.0,6.4
308272,1970-12-20 17:24:00,25754.0,3983.0,75.0,5,116.0,8.5
308272,1970-12-20 17:24:00,25754.0,5899.0,44.0,5,116.0,1.25
308621,1970-01-24 17:22:00,,5401.0,132.0,1,Unknown,8.5
308621,1970-01-24 17:22:00,,776.0,146.0,1,Unknown,14.0
310021,1970-04-08 15:31:00,,3461.0,44.0,26,Unknown,2.7
321750,1970-02-09 18:06:00,,3950.0,134.0,22,Unknown,8.5
321750,1970-02-09 18:06:00,,360.0,36.0,22,Unknown,5.0
321750,1970-02-09 18:06:00,,360.0,36.0,22,Unknown,5.0
323501,1970-11-02 10:22:00,,5636.0,148.0,5,92.0,8.5
323501,1970-11-02 10:22:00,,5681.0,36.0,5,92.0,10.5
328772,1970-01-04 14:44:00,,1126.0,46.0,6,Unknown,7.5
328772,1970-01-04 14:44:00,,1038.0,110.0,6,Unknown,5.0
330578,1970-06-30 13:21:00,,3921.0,92.0,5,Unknown,21.6
330578,1970-06-30 13:21:00,,3983.0,75.0,5,Unknown,13.0
330660,1970-10-23 16:47:00,1534.0,6456.0,92.0,1,145.0,13.5
333749,1970-05-08 11:13:00,,3317.0,144.0,19,Unknown,14.0
335263,1972-12-15 15:33:00,35983.0,6684.0,36.0,33,13.0,9.0
335263,1972-12-15 15:33:00,35983.0,5508.0,75.0,33,13.0,7.0
337718,1970-12-21 12:19:00,,5724.0,36.0,21,1.0,28.5
341554,1971-02-12 14:43:00,,7105.0,148.0,26,48.0,3.5
342932,1970-04-22 12:05:00,,3725.0,140.0,16,Unknown,9.9
343410,1970-11-20 10:03:00,,5748.0,99.0,8,72.0,6.0
344832,1970-11-10 14:45:00,,5391.0,82.0,11,78.0,14.4
347310,1970-06-23 17:39:00,,4340.0,95.0,11,Unknown,16.4
347310,1970-06-23 17:39:00,,2383.0,119.0,11,Unknown,10.0
347310,1970-06-23 17:39:00,,2387.0,119.0,11,Unknown,10.0
347310,1970-06-23 17:39:00,,3496.0,29.0,11,Unknown,10.4
347310,1970-06-23 17:39:00,,2193.0,49.0,11,Unknown,10.8
347310,1970-06-23 17:39:00,,3070.0,119.0,11,Unknown,32.0
347310,1970-06-23 17:39:00,,6564.0,119.0,11,Unknown,30.8
347310,1970-06-23 17:39:00,,3071.0,119.0,11,Unknown,32.0
347310,1970-06-23 17:39:00,,3138.0,119.0,11,Unknown,15.0
347310,1970-06-23 17:39:00,,4362.0,127.0,11,Unknown,11.2
347310,1970-06-23 17:39:00,,6550.0,119.0,11,Unknown,24.0
347310,1970-06-23 17:39:00,,3482.0,75.0,11,Unknown,9.6
348340,1970-11-12 11:24:00,,5260.0,71.0,11,100.0,15.0
348340,1970-11-12 11:24:00,,3957.0,146.0,11,100.0,18.9
348340,1970-11-12 11:24:00,,5535.0,140.0,11,100.0,10.5
348908,1971-12-04 12:31:00,15484.0,6457.0,92.0,28,229.0,18.0
348908,1971-12-04 12:31:00,15484.0,6456.0,92.0,28,229.0,18.0
348908,1971-12-04 12:31:00,15484.0,6064.0,99.0,28,229.0,10.8
348908,1971-12-04 12:31:00,15484.0,3708.0,71.0,28,229.0,3.2
348908,1971-12-04 12:31:00,15484.0,5257.0,75.0,28,229.0,5.6
349895,1970-12-08 19:45:00,,5732.0,36.0,29,58.0,35.0
353991,1972-12-08 14:51:00,,3669.0,24.0,22,54.0,3.5
353991,1972-12-08 14:51:00,,4424.0,24.0,22,54.0,4.5
354402,1971-12-22 17:52:00,,6170.0,36.0,1,26.0,39.5
355512,1971-01-11 15:26:00,,2375.0,64.0,19,33.0,14.5
357060,1970-06-22 16:15:00,,2989.0,148.0,4,Unknown,7.5
357273,1970-12-18 14:19:00,,3983.0,75.0,35,35.0,17.0
364403,1971-12-23 14:15:00,,6331.0,36.0,20,26.0,49.0
364599,1970-05-28 14:26:00,,5505.0,85.0,35,Unknown,5.0
367192,1970-06-24 11:49:00,,968.0,110.0,21,39.0,7.5
369651,1972-12-11 18:53:00,,6744.0,36.0,22,198.0,25.0
375941,1970-11-27 16:20:00,,5701.0,36.0,9,Unknown,28.5
380380,1971-03-15 12:08:00,,2197.0,49.0,11,36.0,17.9
382792,1970-10-30 16:38:00,,3640.0,29.0,1,149.0,10.8
382792,1970-10-30 16:38:00,,3641.0,29.0,1,149.0,16.9
382792,1970-10-30 16:38:00,,3518.0,28.0,1,149.0,11.7
385717,1970-12-18 15:46:00,,566.0,173.0,15,31.0,6.8
386378,1970-04-16 13:08:00,,2441.0,75.0,3,Unknown,16.5
387268,1970-05-08 09:07:00,,4208.0,75.0,21,Unknown,16.5
387793,1970-01-19 13:41:00,,943.0,110.0,6,Unknown,5.0
391024,1970-02-23 12:57:00,,8629.0,173.0,33,132.0,10.0
391728,1970-08-09 09:46:00,,4552.0,146.0,21,39.0,14.9
397622,1972-12-15 12:46:00,,2801.0,28.0,22,252.0,14.5
404412,1970-12-23 19:29:00,,2192.0,49.0,5,92.0,12.4
412124,1970-08-16 09:16:00,,5136.0,131.0,8,Unknown,10.0
412124,1970-08-16 09:16:00,,6228.0,48.0,8,Unknown,10.0
412989,1970-12-18 14:47:00,,3279.0,71.0,23,10.0,7.0
414427,1971-02-04 10:30:00,,5839.0,71.0,14,119.0,7.0
414427,1971-02-04 10:30:00,,2441.0,75.0,14,119.0,12.0
418907,1970-04-13 13:55:00,,2994.0,71.0,8,Unknown,4.8
418907,1970-04-13 13:55:00,,3546.0,71.0,8,Unknown,3.4
418907,1970-04-13 13:55:00,,4340.0,95.0,8,Unknown,20.5
419552,1970-11-23 11:38:00,,5585.0,99.0,11,71.0,7.8
419731,1970-03-12 16:15:00,,1707.0,163.0,28,Unknown,6.8
419731,1970-03-12 16:15:00,,2859.0,48.0,28,Unknown,14.0
419731,1970-03-12 16:15:00,,3472.0,92.0,28,Unknown,19.2
419945,1970-10-22 14:22:00,,6529.0,75.0,1,138.0,13.6
419945,1970-10-22 14:22:00,,3750.0,163.0,1,138.0,8.64
422955,1970-06-22 15:28:00,,3482.0,75.0,8,Unknown,6.0
422955,1970-06-22 15:28:00,,5317.0,71.0,8,Unknown,2.24
422962,1970-01-28 18:02:00,,2373.0,62.0,6,Unknown,12.8
423338,1970-11-04 13:55:00,,5640.0,148.0,28,152.0,4.0
424799,1971-01-25 13:57:00,,5409.0,140.0,17,32.0,6.5
424799,1971-01-25 13:57:00,,5570.0,140.0,17,32.0,13.0
425363,1970-06-30 11:18:00,,3949.0,134.0,14,Unknown,10.5
425363,1970-06-30 11:18:00,,1757.0,75.0,14,Unknown,6.9
430535,1971-02-11 15:13:00,,2894.0,75.0,14,87.0,7.0
431548,1971-12-18 15:44:00,,3743.0,94.0,28,24.0,5.0
431548,1971-12-18 15:44:00,,5965.0,94.0,28,24.0,7.0
437389,1973-07-14 16:06:00,,6767.0,94.0,1,166.0,24.1
438809,1970-07-06 15:31:00,,4105.0,75.0,1,Unknown,7.0
